Industry,Year,Emissions
Total Industry and Households,2010,45430.37352
"Electricity, Gas, Steam and Air Conditioning Supply",2010,12458.70184
Manufacturing,2010,9745.96955
"Agriculture, Forestry and Fishing",2010,6360.080847
Total Households,2010,4973.899571
Mining,2010,3979.771187
Transportation and Storage,2010,3886.230804
Other Services Industries,2010,1900.259665
"Water supply; sewerage, waste management and remediation activities",2010,1495.603534
Construction,2010,629.85653
Total Industry and Households,2011,46697.95616
"Electricity, Gas, Steam and Air Conditioning Supply",2011,13011.95972
Manufacturing,2011,10166.91561
"Agriculture, Forestry and Fishing",2011,6432.869648
Total Households,2011,4919.24764
Mining,2011,4141.797174
Transportation and Storage,2011,4002.555075
Other Services Industries,2011,1852.926128
"Water supply; sewerage, waste management and remediation activities",2011,1528.304899
Construction,2011,641.3802768
Total Industry and Households,2012,47231.25212
"Electricity, Gas, Steam and Air Conditioning Supply",2012,13315.19601
Manufacturing,2012,10314.32126
"Agriculture, Forestry and Fishing",2012,6455.099685
Total Households,2012,4892.923451
Mining,2012,4213.598212
Transportation and Storage,2012,4070.348993
Other Services Industries,2012,1763.930064
"Water supply; sewerage, waste management and remediation activities",2012,1557.37955
Construction,2012,648.4548896
Total Industry and Households,2013,48029.90648
"Electricity, Gas, Steam and Air Conditioning Supply",2013,13528.29872
Manufacturing,2013,10518.4128
"Agriculture, Forestry and Fishing",2013,6563.231035
Total Households,2013,5018.431399
Mining,2013,4196.876043
Transportation and Storage,2013,4146.800743
Other Services Industries,2013,1816.777373
"Water supply; sewerage, waste management and remediation activities",2013,1588.110955
Construction,2013,652.9674109
Total Industry and Households,2014,48464.97835
"Electricity, Gas, Steam and Air Conditioning Supply",2014,13658.64107
Manufacturing,2014,10653.90951
"Agriculture, Forestry and Fishing",2014,6581.312519
Total Households,2014,5040.935745
Transportation and Storage,2014,4236.138151
Mining,2014,4218.301291
Other Services Industries,2014,1816.810896
"Water supply; sewerage, waste management and remediation activities",2014,1614.689628
Construction,2014,644.239533
Total Industry and Households,2015,48304.07072
"Electricity, Gas, Steam and Air Conditioning Supply",2015,13365.11682
Manufacturing,2015,10497.60001
"Agriculture, Forestry and Fishing",2015,6635.876385
Total Households,2015,5102.562213
Transportation and Storage,2015,4362.132069
Mining,2015,4191.841846
Other Services Industries,2015,1865.707693
"Water supply; sewerage, waste management and remediation activities",2015,1648.913584
Construction,2015,634.3200989
Total Industry and Households,2016,48463.0598
"Electricity, Gas, Steam and Air Conditioning Supply",2016,13430.79238
Manufacturing,2016,10466.01412
"Agriculture, Forestry and Fishing",2016,6686.969068
Total Households,2016,5156.430106
Transportation and Storage,2016,4435.890988
Mining,2016,4118.970106
Other Services Industries,2016,1866.742484
"Water supply; sewerage, waste management and remediation activities",2016,1678.652466
Construction,2016,622.5980739
Total Industry and Households,2017,49285.32037
"Electricity, Gas, Steam and Air Conditioning Supply",2017,13746.42834
Manufacturing,2017,10592.15296
"Agriculture, Forestry and Fishing",2017,6707.985981
Total Households,2017,5241.991984
Transportation and Storage,2017,4568.221123
Mining,2017,4186.3124
Other Services Industries,2017,1904.814228
"Water supply; sewerage, waste management and remediation activities",2017,1711.147722
Construction,2017,626.2656368
Total Industry and Households,2018,50554.68469
"Electricity, Gas, Steam and Air Conditioning Supply",2018,14254.66098
Manufacturing,2018,10781.49974
"Agriculture, Forestry and Fishing",2018,6855.445497
Total Households,2018,5442.574635
Transportation and Storage,2018,4726.374141
Mining,2018,4360.234725
"Water supply; sewerage, waste management and remediation activities",2018,1721.109846
Other Services Industries,2018,1669.13763
Construction,2018,743.6474944
Total Industry and Households,2019,50656.15299
"Electricity, Gas, Steam and Air Conditioning Supply",2019,14103.83131
Manufacturing,2019,10974.43887
"Agriculture, Forestry and Fishing",2019,6850.350705
Total Households,2019,5433.587598
Transportation and Storage,2019,4771.954603
Mining,2019,4411.330757
"Water supply; sewerage, waste management and remediation activities",2019,1742.720603
Other Services Industries,2019,1622.859473
Construction,2019,745.0790742
Total Industry and Households,2020,48670.05628
"Electricity, Gas, Steam and Air Conditioning Supply",2020,13655.23561
Manufacturing,2020,10824.01059
"Agriculture, Forestry and Fishing",2020,6925.608917
Total Households,2020,4969.367331
Mining,2020,4212.400589
Transportation and Storage,2020,4093.026335
"Water supply; sewerage, waste management and remediation activities",2020,1769.508746
Other Services Industries,2020,1503.203263
Construction,2020,717.6949021
Total Industry and Households,2021,50811.95775
"Electricity, Gas, Steam and Air Conditioning Supply",2021,14727.43135
Manufacturing,2021,11129.17846
"Agriculture, Forestry and Fishing",2021,6986.595135
Total Households,2021,5212.38279
Transportation and Storage,2021,4364.225775
Mining,2021,4311.195016
"Water supply; sewerage, waste management and remediation activities",2021,1807.629791
Other Services Industries,2021,1532.26121
Construction,2021,741.05822
Total Industry and Households,2022,51181.64443
"Electricity, Gas, Steam and Air Conditioning Supply",2022,14844.55316
Manufacturing,2022,10928.64615
"Agriculture, Forestry and Fishing",2022,7016.340178
Total Households,2022,5298.017458
Transportation and Storage,2022,4583.972144
Mining,2022,4404.659058
"Water supply; sewerage, waste management and remediation activities",2022,1839.534379
Other Services Industries,2022,1526.410179
Construction,2022,739.5117175
Total Industry and Households,2023,52124.49836
"Electricity, Gas, Steam and Air Conditioning Supply",2023,15106.25605
Manufacturing,2023,11080.27804
"Agriculture, Forestry and Fishing",2023,7040.847702
Total Households,2023,5368.421165
Transportation and Storage,2023,4804.679446
Mining,2023,4553.223972
"Water supply; sewerage, waste management and remediation activities",2023,1879.063827
Other Services Industries,2023,1536.882283
Construction,2023,754.845875
